x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,f1,f2,f3
1,4,0,2,0,3,3,3,3,1,0,3,0,3,3,4,0,3,2,1,800.1964401294498,15.0,11.147058823529411
4,0,2,0,0,0,4,0,3,1,3,0,4,1,3,3,4,1,2,1,803.4980569948186,14.0,6.982608695652174
1,3,2,0,3,4,0,1,2,0,2,4,3,4,1,2,2,4,3,4,803.095792880259,17.0,15.819620253164556
3,4,0,3,1,3,3,1,2,4,2,0,3,4,0,1,4,3,2,3,797.7964401294498,17.0,17.63157894736842
0,3,0,2,4,4,4,3,1,1,4,1,0,1,4,4,1,3,4,2,800.831715210356,17.0,14.177142857142858
4,2,3,2,4,4,0,3,4,1,4,4,1,3,0,3,2,4,4,1,800.9834951456311,18.0,22.537777777777777
4,3,3,2,3,2,0,4,4,4,4,2,3,4,0,1,1,4,4,1,800.9834951456311,18.0,29.935294117647057
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,0,1,1,807.1598705501618,12.0,11.692307692307692
2,4,1,2,2,3,2,3,3,0,0,2,3,2,3,1,2,0,2,4,799.2695792880259,17.0,13.663934426229508
1,4,3,0,1,0,3,1,0,1,3,4,3,4,1,4,3,1,4,0,797.6659112981547,16.0,12.090024330900244
3,4,2,3,0,2,1,1,0,2,0,0,2,2,1,3,4,2,1,0,799.2391585760518,15.0,17.078231292517007
4,0,4,1,4,3,1,4,4,0,3,1,2,0,1,4,3,4,1,3,801.3313915857606,17.0,8.880733944954128
0,3,2,4,3,0,2,4,3,2,0,1,1,2,4,1,2,3,1,2,799.5927484622855,17.0,14.678362573099417
0,3,4,2,4,3,4,1,0,0,0,1,1,1,4,1,2,2,4,4,799.8796116504855,16.0,8.710196779964221
2,2,2,2,0,2,1,4,3,1,4,4,0,2,0,3,0,3,1,1,798.7912621359224,16.0,23.71028037383177
2,0,4,4,3,0,4,4,1,4,0,2,2,2,4,4,0,3,2,0,800.4269990288119,15.0,44.90350877192982
0,2,0,4,0,0,3,0,0,1,1,4,3,1,0,3,1,1,1,0,803.8582065393331,12.0,4.5322265625
3,3,4,2,4,2,3,2,0,1,2,0,0,0,2,4,2,3,3,2,798.4527508090615,16.0,32.28025477707006
2,0,2,0,3,0,4,2,1,3,2,0,2,1,2,4,2,1,2,0,800.1087730657171,15.0,9.516569200779728
3,0,0,2,4,3,0,2,2,0,2,4,3,4,1,2,2,4,3,4,803.6909385113269,16.0,343.26666666666665
3,4,2,3,0,2,1,1,0,2,0,0,2,2,1,3,4,4,3,4,797.5783171521035,16.0,23.59345794392524
3,4,2,3,0,2,1,1,0,1,4,4,1,3,0,3,2,4,4,1,796.3362459546926,17.0,19.95652173913044
2,0,4,4,3,0,4,4,1,4,0,2,2,2,1,2,2,0,1,1,798.3392683716413,16.0,27.247311827956988
2,0,2,0,3,0,4,2,3,0,0,2,3,2,3,1,2,0,2,4,799.9381676918097,14.0,9.834
1,3,2,0,3,4,0,1,2,0,2,4,3,1,0,3,1,1,1,0,799.5313915857605,15.0,4.581418581418581
0,3,0,2,4,4,4,3,1,0,0,2,3,2,3,1,2,0,2,4,804.0071197411003,15.0,11.818181818181818
1,4,3,0,1,0,3,1,0,1,3,4,3,4,1,4,3,4,1,3,797.6024603431531,17.0,16.012779552715656
2,2,2,2,0,2,1,4,3,1,4,4,0,2,0,4,2,3,3,2,799.0343042071197,17.0,24.635922330097088
2,2,2,2,0,2,1,4,3,1,4,4,0,2,0,3,0,3,4,4,798.7912621359224,16.0,23.71028037383177
1,4,3,0,0,2,1,1,0,1,3,4,3,4,1,4,3,4,3,2,796.0482200647249,17.0,11.545454545454543
2,0,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,0,1,0,798.4815533980583,11.0,10.905701754385966
1,4,3,0,0,2,1,1,0,4,0,4,3,4,1,2,2,0,1,1,797.4265372168285,15.0,7.254901960784314
4,3,3,2,3,2,0,4,1,0,2,4,3,4,1,2,2,4,3,4,803.2152103559871,18.0,5151.0
2,0,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,2,804.9255663430421,13.0,55.204301075268816
4,3,3,2,3,2,0,4,1,4,0,4,3,4,1,4,3,4,3,2,801.325566343042,18.0,1287.5
3,0,0,2,4,3,0,2,2,2,1,2,0,4,1,2,2,0,1,0,798.5805825242718,14.0,51.87878787878788
3,0,0,2,3,2,0,4,1,4,0,4,3,4,1,4,3,4,3,4,801.9705501618123,16.0,1030.0
4,0,0,2,4,3,0,2,2,0,3,4,3,4,1,2,2,4,3,0,799.957281553398,15.0,342.8666666666667
4,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,0,3,0,798.5307443365696,12.0,24.471153846153847
0,3,0,2,4,4,4,3,1,0,2,4,3,4,1,2,2,4,3,4,801.6139158576052,17.0,644.0
2,0,4,4,3,2,1,1,0,1,3,4,3,4,1,4,3,4,3,2,796.2362459546925,18.0,22.29955947136564
3,4,3,0,0,2,1,1,0,4,0,4,3,4,1,4,3,4,3,2,796.5588996763754,16.0,27.532608695652176
4,3,3,2,3,2,0,4,2,2,1,2,0,4,1,2,2,0,1,0,798.2226537216828,16.0,160.6875
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,0,1,0,800.9954692556635,11.0,14.46551724137931
4,3,3,2,0,2,1,1,0,4,0,4,3,4,1,4,3,4,3,2,796.6783171521035,17.0,28.942857142857143
3,4,3,0,0,2,1,1,0,1,3,4,3,4,1,4,3,4,3,2,796.0482200647249,17.0,24.58252427184466
0,3,0,2,4,2,0,4,1,4,0,4,3,4,1,4,3,4,3,2,805.1611650485437,16.0,1287.5
4,0,0,2,4,3,0,2,2,0,3,4,3,2,4,4,0,0,1,0,800.0485436893204,13.0,26.30208333333333
3,0,0,2,3,4,4,3,1,0,2,4,3,4,1,4,3,4,3,2,799.0812297734628,17.0,367.7857142857143
4,3,0,2,4,3,0,2,2,0,3,4,3,4,1,2,2,4,3,0,799.415210355987,16.0,643.0
2,0,2,0,0,0,0,3,0,2,1,2,0,4,1,3,2,0,1,0,798.4815533980583,11.0,11.360730593607306
0,3,0,2,4,4,4,3,1,0,2,4,0,4,1,2,2,0,3,0,804.5728155339806,14.0,96.86792452830188
3,0,0,0,0,2,1,1,0,1,3,4,3,4,1,4,3,4,3,2,797.1061488673139,15.0,23.98578199052133
4,4,2,2,4,3,0,2,2,0,3,4,3,4,1,2,2,4,3,0,799.4822006472492,17.0,735.0
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,0,3,0,800.9954692556635,11.0,14.46551724137931
0,3,0,2,4,3,0,2,2,0,3,4,3,4,1,2,2,4,3,0,802.4902912621359,15.0,467.7272727272728
0,4,2,0,0,0,0,3,0,2,1,4,3,4,1,2,2,4,3,0,798.7336569579288,13.0,28.19889502762431
3,0,0,0,0,2,1,1,0,1,3,4,3,4,2,4,3,3,3,2,797.1061488673139,15.0,23.98578199052133
4,4,2,0,4,4,4,3,1,0,2,4,3,4,1,4,3,4,3,2,798.4867313915857,18.0,5152.0
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,3,0,3,0,800.9954692556635,11.0,16.906354515050168
4,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,4,3,0,797.6278317152104,13.0,35.04109589041096
